"","x","y","pval","Intersect","ADset_Size","not_ADset","pathway_Size","ratio_in","ratio_out","ratio_ratios","adj_pval_listWise"
"1","ADCL","Pathway.KEGG_Glycolysis / Gluconeogenesis",1,0,40,7973,68,0,0.00501693214599273,0,1
"2","ADGeneList","Pathway.KEGG_Glycolysis / Gluconeogenesis",0.0425781311801168,8,466,7547,68,0.133333333333333,0.0606863654432225,2.19708879184862,0.0884328471574706
"3","open_targets","Pathway.KEGG_Glycolysis / Gluconeogenesis",0.92998285746258,1,306,7707,68,0.0149253731343284,0.0395744128714156,0.37714705162711,1
"4","ADCL","Pathway.KEGG_Citrate cycle (TCA cycle)",1,0,40,7973,30,0,0.00501693214599273,0,1
"5","ADGeneList","Pathway.KEGG_Citrate cycle (TCA cycle)",0.252294160069036,3,466,7547,30,0.111111111111111,0.0613488803498079,1.81113510919126,0.394209625107869
"6","open_targets","Pathway.KEGG_Citrate cycle (TCA cycle)",0.689709803551554,1,306,7707,30,0.0344827586206897,0.0395744128714156,0.871339739966082,1
"7","ADCL","Pathway.KEGG_Pentose phosphate pathway",1,0,40,7973,30,0,0.00501693214599273,0,1
"8","ADGeneList","Pathway.KEGG_Pentose phosphate pathway",1,0,466,7547,30,0,0.0617463892937591,0,1
"9","open_targets","Pathway.KEGG_Pentose phosphate pathway",1,0,306,7707,30,0,0.0397041650447645,0,1
"10","ADCL","Pathway.KEGG_Pentose and glucuronate interconversions",1,0,40,7973,34,0,0.00501693214599273,0,1
"11","ADGeneList","Pathway.KEGG_Pentose and glucuronate interconversions",1,0,466,7547,34,0,0.0617463892937591,0,1
"12","open_targets","Pathway.KEGG_Pentose and glucuronate interconversions",1,0,306,7707,34,0,0.0397041650447645,0,1
"13","ADCL","Pathway.KEGG_Fructose and mannose metabolism",1,0,40,7973,33,0,0.00501693214599273,0,1
"14","ADGeneList","Pathway.KEGG_Fructose and mannose metabolism",1,0,466,7547,33,0,0.0617463892937591,0,1
"15","open_targets","Pathway.KEGG_Fructose and mannose metabolism",1,0,306,7707,33,0,0.0397041650447645,0,1
"16","ADCL","Pathway.KEGG_Galactose metabolism",1,0,40,7973,31,0,0.00501693214599273,0,1
"17","ADGeneList","Pathway.KEGG_Galactose metabolism",0.268302059037807,3,466,7547,31,0.107142857142857,0.0613488803498079,1.74645171243443,0.412591395865423
"18","open_targets","Pathway.KEGG_Galactose metabolism",1,0,306,7707,31,0,0.0397041650447645,0,1
"19","ADCL","Pathway.KEGG_Ascorbate and aldarate metabolism",1,0,40,7973,27,0,0.00501693214599273,0,1
"20","ADGeneList","Pathway.KEGG_Ascorbate and aldarate metabolism",0.802184066031354,1,466,7547,27,0.0384615384615385,0.061613886312442,0.624234904880066,0.944600802391993
"21","open_targets","Pathway.KEGG_Ascorbate and aldarate metabolism",1,0,306,7707,27,0,0.0397041650447645,0,1
"22","ADCL","Pathway.KEGG_Fatty acid biosynthesis",1,0,40,7973,18,0,0.00501693214599273,0,1
"23","ADGeneList","Pathway.KEGG_Fatty acid biosynthesis",0.66028639931446,1,466,7547,18,0.0588235294117647,0.061613886312442,0.954712207463631,0.83175612316744
"24","open_targets","Pathway.KEGG_Fatty acid biosynthesis",1,0,306,7707,18,0,0.0397041650447645,0,1
"25","ADCL","Pathway.KEGG_Fatty acid elongation",1,0,40,7973,27,0,0.00501693214599273,0,1
"26","ADGeneList","Pathway.KEGG_Fatty acid elongation",1,0,466,7547,27,0,0.0617463892937591,0,1
"27","open_targets","Pathway.KEGG_Fatty acid elongation",1,0,306,7707,27,0,0.0397041650447645,0,1
"28","ADCL","Pathway.KEGG_Fatty acid degradation",1,0,40,7973,44,0,0.00501693214599273,0,1
"29","ADGeneList","Pathway.KEGG_Fatty acid degradation",0.110191428870934,5,466,7547,44,0.128205128205128,0.0610838743871737,2.09883753267701,0.195695160563135
"30","open_targets","Pathway.KEGG_Fatty acid degradation",1,0,306,7707,44,0,0.0397041650447645,0,1
"31","ADCL","Pathway.KEGG_Synthesis and degradation of ketone bodies",1,0,40,7973,10,0,0.00501693214599273,0,1
"32","ADGeneList","Pathway.KEGG_Synthesis and degradation of ketone bodies",0.0172508024210501,3,466,7547,10,0.428571428571429,0.0613488803498079,6.98580684973773,0.0403346099772755
"33","open_targets","Pathway.KEGG_Synthesis and degradation of ketone bodies",1,0,306,7707,10,0,0.0397041650447645,0,1
"34","ADCL","Pathway.KEGG_Steroid biosynthesis",1,0,40,7973,20,0,0.00501693214599273,0,1
"35","ADGeneList","Pathway.KEGG_Steroid biosynthesis",0.325757734025801,2,466,7547,20,0.111111111111111,0.0614813833311249,1.80723180076628,0.483492805178796
"36","open_targets","Pathway.KEGG_Steroid biosynthesis",1,0,306,7707,20,0,0.0397041650447645,0,1
"37","ADCL","Pathway.KEGG_Primary bile acid biosynthesis",1,0,40,7973,17,0,0.00501693214599273,0,1
"38","ADGeneList","Pathway.KEGG_Primary bile acid biosynthesis",0.259796898026208,2,466,7547,17,0.133333333333333,0.0614813833311249,2.16867816091954,0.403990391667549
"39","open_targets","Pathway.KEGG_Primary bile acid biosynthesis",0.484485832402179,1,306,7707,17,0.0625,0.0395744128714156,1.57930327868852,0.881920219345832
"40","ADCL","Pathway.KEGG_Ubiquinone and other terpenoid-quinone biosynthesis",1,0,40,7973,11,0,0.00501693214599273,0,1
"41","ADGeneList","Pathway.KEGG_Ubiquinone and other terpenoid-quinone biosynthesis",0.131189334366649,2,466,7547,11,0.222222222222222,0.0614813833311249,3.61446360153257,0.225590125233656
"42","open_targets","Pathway.KEGG_Ubiquinone and other terpenoid-quinone biosynthesis",0.34856075599714,1,306,7707,11,0.1,0.0395744128714156,2.52688524590164,0.721542966236119
"43","ADCL","Pathway.KEGG_Steroid hormone biosynthesis",1,0,40,7973,60,0,0.00501693214599273,0,1
"44","ADGeneList","Pathway.KEGG_Steroid hormone biosynthesis",0.0580255249927178,7,466,7547,60,0.132075471698113,0.0608188684245396,2.17162001068771,0.112251759658531
"45","open_targets","Pathway.KEGG_Steroid hormone biosynthesis",1,0,306,7707,60,0,0.0397041650447645,0,1
"46","ADCL","Pathway.KEGG_Oxidative phosphorylation",0.488875037822631,1,40,7973,133,0.00757575757575758,0.00489150884234291,1.5487567987568,1
"47","ADGeneList","Pathway.KEGG_Oxidative phosphorylation",0.893293971553195,5,466,7547,133,0.0390625,0.0610838743871737,0.639489560737527,1
"48","open_targets","Pathway.KEGG_Oxidative phosphorylation",0.965627129057621,2,306,7707,133,0.0152671755725191,0.0394446606980667,0.387053033346726,1
"49","ADCL","Pathway.KEGG_Arginine biosynthesis",1,0,40,7973,21,0,0.00501693214599273,0,1
"50","ADGeneList","Pathway.KEGG_Arginine biosynthesis",0.119623427192193,3,466,7547,21,0.166666666666667,0.0613488803498079,2.7167026637869,0.20901942923367
"51","open_targets","Pathway.KEGG_Arginine biosynthesis",0.558996687815627,1,306,7707,21,0.05,0.0395744128714156,1.26344262295082,0.971518307700956
"52","ADCL","Pathway.KEGG_Purine metabolism",1,0,40,7973,130,0,0.00501693214599273,0,1
"53","ADGeneList","Pathway.KEGG_Purine metabolism",0.999611920873823,1,466,7547,130,0.00775193798449612,0.061613886312442,0.125814787030091,1
"54","open_targets","Pathway.KEGG_Purine metabolism",0.737653138958375,4,306,7707,130,0.0317460317460317,0.0391851563513689,0.810154525386313,1
"55","ADCL","Pathway.KEGG_Pyrimidine metabolism",1,0,40,7973,57,0,0.00501693214599273,0,1
"56","ADGeneList","Pathway.KEGG_Pyrimidine metabolism",0.967532589404292,1,466,7547,57,0.0178571428571429,0.061613886312442,0.289823348694316,1
"57","open_targets","Pathway.KEGG_Pyrimidine metabolism",1,0,306,7707,57,0,0.0397041650447645,0,1
"58","ADCL","Pathway.KEGG_Alanine, aspartate and glutamate metabolism",1,0,40,7973,36,0,0.00501693214599273,0,1
"59","ADGeneList","Pathway.KEGG_Alanine, aspartate and glutamate metabolism",0.884883738640029,1,466,7547,36,0.0285714285714286,0.061613886312442,0.463717357910906,1
"60","open_targets","Pathway.KEGG_Alanine, aspartate and glutamate metabolism",0.402218856110633,2,306,7707,36,0.0588235294117647,0.0394446606980667,1.49129256965944,0.782761246921891
"61","ADCL","Pathway.KEGG_Glycine, serine and threonine metabolism",1,0,40,7973,40,0,0.00501693214599273,0,1
"62","ADGeneList","Pathway.KEGG_Glycine, serine and threonine metabolism",0.413635171966018,3,466,7547,40,0.0810810810810811,0.0613488803498079,1.32163913373417,0.587036816108977
"63","open_targets","Pathway.KEGG_Glycine, serine and threonine metabolism",0.455158679786582,2,306,7707,40,0.0526315789473684,0.0394446606980667,1.33431440443213,0.845294691032224
"64","ADCL","Pathway.KEGG_Cysteine and methionine metabolism",1,0,40,7973,49,0,0.00501693214599273,0,1
"65","ADGeneList","Pathway.KEGG_Cysteine and methionine metabolism",0.787214933577955,2,466,7547,49,0.0425531914893617,0.0614813833311249,0.692131327953045,0.944600802391993
"66","open_targets","Pathway.KEGG_Cysteine and methionine metabolism",1,0,306,7707,49,0,0.0397041650447645,0,1
"67","ADCL","Pathway.KEGG_Valine, leucine and isoleucine degradation",1,0,40,7973,48,0,0.00501693214599273,0,1
"68","ADGeneList","Pathway.KEGG_Valine, leucine and isoleucine degradation",0.14466933066315,5,466,7547,48,0.116279069767442,0.0610838743871737,1.90359683196287,0.244882981591269
"69","open_targets","Pathway.KEGG_Valine, leucine and isoleucine degradation",1,0,306,7707,48,0,0.0397041650447645,0,1
"70","ADCL","Pathway.KEGG_Lysine degradation",1,0,40,7973,61,0,0.00501693214599273,0,1
"71","ADGeneList","Pathway.KEGG_Lysine degradation",0.477498052986952,4,466,7547,61,0.0701754385964912,0.0612163773684908,1.14635072529809,0.647958724669511
"72","open_targets","Pathway.KEGG_Lysine degradation",1,0,306,7707,61,0,0.0397041650447645,0,1
"73","ADCL","Pathway.KEGG_Arginine and proline metabolism",1,0,40,7973,50,0,0.00501693214599273,0,1
"74","ADGeneList","Pathway.KEGG_Arginine and proline metabolism",0.331309884404962,4,466,7547,50,0.0869565217391304,0.0612163773684908,1.42047807265199,0.487220418242592
"75","open_targets","Pathway.KEGG_Arginine and proline metabolism",0.57471283036796,2,306,7707,50,0.0416666666666667,0.0394446606980667,1.05633223684211,0.979903841229348
"76","ADCL","Pathway.KEGG_Histidine metabolism",1,0,40,7973,23,0,0.00501693214599273,0,1
"77","ADGeneList","Pathway.KEGG_Histidine metabolism",0.146558176842639,3,466,7547,23,0.15,0.0613488803498079,2.44503239740821,0.246794857377501
"78","open_targets","Pathway.KEGG_Histidine metabolism",0.218584651037864,2,306,7707,23,0.0952380952380952,0.0394446606980667,2.41447368421053,0.534135425468464
"79","ADCL","Pathway.KEGG_Tyrosine metabolism",1,0,40,7973,36,0,0.00501693214599273,0,1
"80","ADGeneList","Pathway.KEGG_Tyrosine metabolism",0.0554294195223816,5,466,7547,36,0.161290322580645,0.0610838743871737,2.64047302498076,0.108521453884181
"81","open_targets","Pathway.KEGG_Tyrosine metabolism",0.157100405158008,3,306,7707,36,0.0909090909090909,0.0393149085247178,2.31233123312331,0.447279850808918
"82","ADCL","Pathway.KEGG_Phenylalanine metabolism",1,0,40,7973,17,0,0.00501693214599273,0,1
"83","ADGeneList","Pathway.KEGG_Phenylalanine metabolism",0.639262954703642,1,466,7547,17,0.0625,0.061613886312442,1.01438172043011,0.811564297963608
"84","open_targets","Pathway.KEGG_Phenylalanine metabolism",0.0251989441607747,3,306,7707,17,0.214285714285714,0.0393149085247178,5.45049504950495,0.141200980211238
"85","ADCL","Pathway.KEGG_Tryptophan metabolism",1,0,40,7973,42,0,0.00501693214599273,0,1
"86","ADGeneList","Pathway.KEGG_Tryptophan metabolism",0.00985225656928606,7,466,7547,42,0.2,0.0608188684245396,3.28845315904139,0.0254125665477617
"87","open_targets","Pathway.KEGG_Tryptophan metabolism",0.480607178044202,2,306,7707,42,0.05,0.0394446606980667,1.26759868421053,0.881920219345832
"88","ADCL","Pathway.KEGG_beta-Alanine metabolism",1,0,40,7973,31,0,0.00501693214599273,0,1
"89","ADGeneList","Pathway.KEGG_beta-Alanine metabolism",0.268302059037807,3,466,7547,31,0.107142857142857,0.0613488803498079,1.74645171243443,0.412591395865423
"90","open_targets","Pathway.KEGG_beta-Alanine metabolism",1,0,306,7707,31,0,0.0397041650447645,0,1
"91","ADCL","Pathway.KEGG_Taurine and hypotaurine metabolism",1,0,40,7973,11,0,0.00501693214599273,0,1
"92","ADGeneList","Pathway.KEGG_Taurine and hypotaurine metabolism",0.482885099354137,1,466,7547,11,0.1,0.061613886312442,1.62301075268817,0.651193598714085
"93","open_targets","Pathway.KEGG_Taurine and hypotaurine metabolism",1,0,306,7707,11,0,0.0397041650447645,0,1
"94","ADCL","Pathway.KEGG_Selenocompound metabolism",1,0,40,7973,17,0,0.00501693214599273,0,1
"95","ADGeneList","Pathway.KEGG_Selenocompound metabolism",0.639262954703642,1,466,7547,17,0.0625,0.061613886312442,1.01438172043011,0.811564297963608
"96","open_targets","Pathway.KEGG_Selenocompound metabolism",1,0,306,7707,17,0,0.0397041650447645,0,1
"97","ADCL","Pathway.KEGG_Glutathione metabolism",1,0,40,7973,56,0,0.00501693214599273,0,1
"98","ADGeneList","Pathway.KEGG_Glutathione metabolism",0.0423740653577716,7,466,7547,56,0.142857142857143,0.0608188684245396,2.348895113601,0.0884328471574706
"99","open_targets","Pathway.KEGG_Glutathione metabolism",0.887869832579318,1,306,7707,56,0.0181818181818182,0.0395744128714156,0.459433681073025,1
"100","ADCL","Pathway.KEGG_Starch and sucrose metabolism",1,0,40,7973,36,0,0.00501693214599273,0,1
"101","ADGeneList","Pathway.KEGG_Starch and sucrose metabolism",0.349353075137684,3,466,7547,36,0.0909090909090909,0.0613488803498079,1.48183781661103,0.509146858384517
"102","open_targets","Pathway.KEGG_Starch and sucrose metabolism",1,0,306,7707,36,0,0.0397041650447645,0,1
"103","ADCL","Pathway.KEGG_N-Glycan biosynthesis",1,0,40,7973,50,0,0.00501693214599273,0,1
"104","ADGeneList","Pathway.KEGG_N-Glycan biosynthesis",0.796567471512303,2,466,7547,50,0.0416666666666667,0.0614813833311249,0.677711925287356,0.944600802391993
"105","open_targets","Pathway.KEGG_N-Glycan biosynthesis",0.57471283036796,2,306,7707,50,0.0416666666666667,0.0394446606980667,1.05633223684211,0.979903841229348
"106","ADCL","Pathway.KEGG_Other glycan degradation",1,0,40,7973,18,0,0.00501693214599273,0,1
"107","ADGeneList","Pathway.KEGG_Other glycan degradation",1,0,466,7547,18,0,0.0617463892937591,0,1
