"","SYMBOL","ENTREZID"
"1","ABCA7","10347"
"2","ACE","1636"
"3","ADAM10","102"
"5","AP2A2","161"
"6","APOE","348"
"7","APP","351"
"8","ATXN1","6310"
"10","BIN1","274"
"12","CD2AP","23607"
"13","CD33","945"
"15","CLU","1191"
"16","CR1","1378"
"17","DPYSL2","1808"
"18","DSG2","1829"
"23","HLA-DQA1","3117"
"25","HLA-DQB1","3119"
"26","HLA-DRA","3122"
"27","HLA-DRB1","3123"
"28","HLA-DRB4","3126"
"29","HLA-DRB5","3127"
"30","HS3ST1","9957"
"33","INPP5D","3635"
"34","LGMN","5641"
"35","MEF2C","4208"
"39","NDUFAF6","137682"
"40","NDUFS3","4722"
"43","PSEN1","5663"
"44","PSEN2","5664"
"45","PTK2B","2185"
"48","SLC24A4","123041"
"51","SQSTM1","8878"
"53","TREM2","54209"
"57","ZNF3","7551"
