target.gene_info.symbol	target.id	association_score.overall	genetic_association	somatic_mutation	known_drug	affected_pathway	.rna_expression	literature	animal_model	target.gene_info.name
PSEN1	ENSG00000080815	1	1	0	1	0.375	0.016410079	0.278250672	0.307750583	presenilin 1
APP	ENSG00000142192	1	1	0	1	1	0	0.160661444	0	amyloid beta precursor protein
PSEN2	ENSG00000143801	1	1	0	1	0	0	0.094638349	0	presenilin 2
APOE	ENSG00000130203	1	1	0	0	0	0.005675492	0.184199522	0.18516	apolipoprotein E
ABCA7	ENSG00000064687	1	1	0	0	0	0	0.129754497	0	ATP binding cassette subfamily A member 7
SORL1	ENSG00000137642	1	1	0	0	0	0.015686115	0.072994156	0	sortilin related receptor 1
APH1B	ENSG00000138613	1	0.825001597	0	1	0	0	0.039404	0	aph-1 homolog B, gamma-secretase subunit
ADAM10	ENSG00000137845	1	1	0	0	0	0.006712317	0.065126299	0	ADAM metallopeptidase domain 10
CLU	ENSG00000120885	1	1	0	0	0	0.008418019	0.193746641	0	clusterin
BCHE	ENSG00000114200	1	0.082528479	0	1	0	0	0.098301665	0	butyrylcholinesterase
HMGCR	ENSG00000113161	1	0.036583994	0	1	0	0.00308085	0.103723983	0	3-hydroxy-3-methylglutaryl-CoA reductase
GRIN3B	ENSG00000116032	1	0.073669334	0	1	0	0	0.0292	0	glutamate ionotropic receptor NMDA type subunit 3B
CD33	ENSG00000105383	1	1	0	0	0	0	0.084450689	0	CD33 molecule
CR1	ENSG00000203710	1	1	0	0	0	0	0.072152152	0	complement C3b/C4b receptor 1 (Knops blood group)
BIN1	ENSG00000136717	1	1	0	0	0	0	0.070976053	0	bridging integrator 1
GRIN2B	ENSG00000273079	1	0.001431818	0	1	0	0.010788693	0.063151722	0	glutamate ionotropic receptor NMDA type subunit 2B
CD2AP	ENSG00000198087	1	1	0	0	0	0	0.064458476	0	CD2 associated protein
HFE	ENSG00000010704	1	1	0	0	0	0	0.05600397	0	homeostatic iron regulator
CHRNB2	ENSG00000160716	1	0.022588233	0	1	0	0	0.0375	0	cholinergic receptor nicotinic beta 2 subunit
FRMD4A	ENSG00000151474	1	0.999942627	0	0	0	0.023463751	0.029733333	0	FERM domain containing 4A
GRIN2C	ENSG00000161509	1	0.011956687	0	1	0	0.011264823	0.0165	0	glutamate ionotropic receptor NMDA type subunit 2C
ADRA1A	ENSG00000120907	1	0.020791194	0	1	0	0	0	0	adrenoceptor alpha 1A
SCN4A	ENSG00000007314	1	0.008155615	0	1	0	0	0	0	sodium voltage-gated channel alpha subunit 4
PDE3A	ENSG00000172572	1	0.004655266	0	1	0	0	0	0	phosphodiesterase 3A
FOXO3	ENSG00000118689	1	0.003371807	0	0	1	0	0	0	forkhead box O3
EPHA1	ENSG00000146904	0.99206945	0.977232739	0	0	0	0	0.059346847	0	EPH receptor A1
ECHDC3	ENSG00000134463	0.985329032	0.978229032	0	0	0	0	0.0284	0	enoyl-CoA hydratase domain containing 3
SLC24A4	ENSG00000140090	0.977873605	0.968234022	0	0	0	0	0.038558333	0	solute carrier family 24 member 4
GLIS3	ENSG00000107249	0.963204916	0.959404916	0	0	0	0	0.0152	0	GLIS family zinc finger 3
CASS4	ENSG00000087589	0.946417967	0.927874967	0	0	0	0	0.074172	0	Cas scaffold protein family member 4
USP6NL	ENSG00000148429	0.938621773	0.938621773	0	0	0	0	0	0	USP6 N-terminal like
INPP5D	ENSG00000168918	0.929444671	0.917365283	0	0	0	0	0.048317553	0	inositol polyphosphate-5-phosphatase D
PICALM	ENSG00000073921	0.922968259	0.897248425	0	0	0	0	0.102879336	0	phosphatidylinositol binding clathrin assembly protein
ACE	ENSG00000159640	0.909170583	0.892875171	0	0	0	0	0.065181646	0	angiotensin I converting enzyme
ANKRD55	ENSG00000164512	0.903209805	0.903209805	0	0	0	0	0	0	ankyrin repeat domain 55
TOMM40	ENSG00000130204	0.897422084	0.881016668	0	0	0	0	0.076565277	0	translocase of outer mitochondrial membrane 40
SCARB1	ENSG00000073060	0.897130793	0.882255793	0	0	0	0	0.0595	0	scavenger receptor class B member 1
MMP1	ENSG00000196611	0.893746057	0.058766942	0	0.875	0	0	0.036488889	0	matrix metallopeptidase 1
CLMN	ENSG00000165959	0.889191796	0.884558201	0	0	0	0.018534381	0	0	calmin
MMP13	ENSG00000137745	0.886094865	0.020903783	0	0.875	0	0	0.035088889	0	matrix metallopeptidase 13
FBXL7	ENSG00000183580	0.881332968	0.875432968	0	0	0	0	0.0236	0	F-box and leucine rich repeat protein 7
MMP7	ENSG00000137673	0.881067935	0.008486411	0	0.875	0	0	0.0205	0	matrix metallopeptidase 7
MMP8	ENSG00000118113	0.880272516	0.021090062	0	0.875	0	0	0	0	matrix metallopeptidase 8
MTHFD1L	ENSG00000120254	0.876716633	0.864938855	0	0	0	0	0.047111111	0	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
PTPRG	ENSG00000144724	0.876085181	0.867760181	0	0	0	0	0.0333	0	protein tyrosine phosphatase receptor type G
TCF7L2	ENSG00000148737	0.872462488	0.859812796	0	0	0	0.023397231	0.0402	0	transcription factor 7 like 2
APOC1	ENSG00000130208	0.868324119	0.849160577	0	0	0	0	0.076654168	0	apolipoprotein C1
ABCA1	ENSG00000165029	0.86617163	0.84800493	0	0	0	0	0.07277116	0	ATP binding cassette subfamily A member 1
GAB2	ENSG00000033327	0.865592056	0.764565706	0	0	0.375	0	0.065487152	0	GRB2 associated binding protein 2
TECRL	ENSG00000205678	0.855647504	0.855647504	0	0	0	0	0	0	trans-2,3-enoyl-CoA reductase like
LIPG	ENSG00000101670	0.847141504	0.847141504	0	0	0	0	0	0	lipase G, endothelial type
BZW2	ENSG00000136261	0.844698787	0.844698787	0	0	0	0	0	0	basic leucine zipper and W2 domains 2
MYO16	ENSG00000041515	0.842054725	0.842054725	0	0	0	0	0	0	myosin XVI
PDE7B	ENSG00000171408	0.834218029	0.834218029	0	0	0	0	0	0	phosphodiesterase 7B
ANKRD31	ENSG00000145700	0.813747287	0.813747287	0	0	0	0	0	0	ankyrin repeat domain 31
ESR1	ENSG00000091831	0.800351124	0.002383566	0	0.784722222	0	0	0.061456245	0	estrogen receptor 1
TGM6	ENSG00000166948	0.799234271	0.799234271	0	0	0	0	0	0	transglutaminase 6
MMP3	ENSG00000149968	0.789807103	0.775938988	0	0	0	0	0.055472462	0	matrix metallopeptidase 3
CNTNAP5	ENSG00000155052	0.783494174	0.783494174	0	0	0	0	0	0	contactin associated protein family member 5
DPP10	ENSG00000175497	0.783059654	0.775175631	0	0	0	0.007056203	0.0284	0	dipeptidyl peptidase like 10
IL6R	ENSG00000160712	0.768454765	0.764354765	0	0	0	0	0.0164	0	interleukin 6 receptor
NECTIN2	ENSG00000130202	0.759702543	0.750440584	0	0	0	0	0.041144444	0	nectin cell adhesion molecule 2
MAN2A1	ENSG00000112893	0.757308185	0.757308185	0	0	0	0	0	0	mannosidase alpha class 2A member 1
EDAR	ENSG00000135960	0.750548583	0.746848583	0	0	0	0	0.0148	0	ectodysplasin A receptor
CNTNAP2	ENSG00000174469	0.723482967	0.714445675	0	0	0	0.003035632	0.0348	0	contactin associated protein 2
APOB	ENSG00000084674	0.712436254	0.70283556	0	0	0	0	0.038402778	0	apolipoprotein B
FERMT2	ENSG00000073712	0.700658393	0.689149082	0	0	0	0.009021823	0.042027544	0	fermitin family member 2
PILRA	ENSG00000085514	0.699561983	0.686648094	0	0	0	0	0.051655556	0	paired immunoglobin like type 2 receptor alpha
SCARA3	ENSG00000168077	0.693411665	0.689011665	0	0	0	0	0.0176	0	scavenger receptor class A member 3
ZNF652	ENSG00000198740	0.690795652	0.690795652	0	0	0	0	0	0	zinc finger protein 652
NFIC	ENSG00000141905	0.685520382	0.678053141	0	0	0	0.029868967	0	0	nuclear factor I C
BCL3	ENSG00000069399	0.680996477	0.680996477	0	0	0	0	0	0	BCL3 transcription coactivator
IQCK	ENSG00000174628	0.675096567	0.675096567	0	0	0	0	0	0	IQ motif containing K
DSG2	ENSG00000046604	0.666478718	0.660139829	0	0	0	0	0.025355556	0	desmoglein 2
PTK2B	ENSG00000120899	0.659720879	0.639451816	0	0	0	0	0.081076252	0	protein tyrosine kinase 2 beta
SLC10A2	ENSG00000125255	0.65346445	0.64636445	0	0	0	0	0.0284	0	solute carrier family 10 member 2
TSPOAP1	ENSG00000005379	0.653158919	0.649458919	0	0	0	0	0.0148	0	TSPO associated protein 1
CRADD	ENSG00000169372	0.652723014	0.652723014	0	0	0	0	0	0	CASP2 and RIPK1 domain containing adaptor with death domain
ALDH1A2	ENSG00000128918	0.646866063	0.646866063	0	0	0	0	0	0	aldehyde dehydrogenase 1 family member A2
DBN1	ENSG00000113758	0.639456169	0.625	0	0	0	0	0.057824677	0	drebrin 1
JCAD	ENSG00000165757	0.606725624	0.600925624	0	0	0	0	0.0232	0	junctional cadherin 5 associated
NPAS2	ENSG00000170485	0.603032231	0.603032231	0	0	0	0	0	0	neuronal PAS domain protein 2
SUCLG2	ENSG00000172340	0.597336051	0.590136051	0	0	0	0	0.0288	0	succinate-CoA ligase GDP-forming subunit beta
ACKR2	ENSG00000144648	0.596253574	0.596253574	0	0	0	0	0	0	atypical chemokine receptor 2
CRY2	ENSG00000121671	0.587262298	0.580444396	0	0	0	0.010961119	0.0224	0	cryptochrome circadian regulator 2
SAP30L	ENSG00000164576	0.577988863	0.577988863	0	0	0	0	0	0	SAP30 like
NCR2	ENSG00000096264	0.574485703	0.574485703	0	0	0	0	0	0	natural cytotoxicity triggering receptor 2
HS3ST1	ENSG00000002587	0.569510221	0.569510221	0	0	0	0	0	0	heparan sulfate-glucosamine 3-sulfotransferase 1
MS4A6A	ENSG00000110077	0.567597498	0.552882738	0	0	0	0	0.058859041	0	membrane spanning 4-domains A6A
HLA-DRB1	ENSG00000196126	0.561254786	0.548390647	0	0	0	0	0.051456556	0	major histocompatibility complex, class II, DR beta 1
ADAMTS1	ENSG00000154734	0.55419147	0.545504451	0	0	0	0.003483175	0.0332	0	ADAM metallopeptidase with thrombospondin type 1 motif 1
LRRTM1	ENSG00000162951	0.545461444	0.542284667	0	0	0	0.012707107	0	0	leucine rich repeat transmembrane neuronal 1
LILRA5	ENSG00000187116	0.542700827	0.542700827	0	0	0	0	0	0	leukocyte immunoglobulin like receptor A5
TNRC6A	ENSG00000090905	0.528526693	0.526798069	0	0	0	0.006914496	0	0	trinucleotide repeat containing adaptor 6A
CYP8B1	ENSG00000180432	0.515624642	0.515624642	0	0	0	0	0	0	cytochrome P450 family 8 subfamily B member 1
RABEP1	ENSG00000029725	0.515372042	0.504242788	0	0	0	0.031361463	0.0296	0	rabaptin, RAB GTPase binding effector protein 1
MT-ND2	ENSG00000198763	0.513869379	0.5	0	0	0	0	0.055477516	0	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
PRELID2	ENSG00000186314	0.508972466	0.508972466	0	0	0	0	0	0	PRELI domain containing 2
PDCL3	ENSG00000115539	0.499872473	0.492672473	0	0	0	0	0.0288	0	phosducin like 3
MS4A4A	ENSG00000110079	0.494726252	0.48535451	0	0	0	0	0.037486966	0	membrane spanning 4-domains A4A
CCRL2	ENSG00000121797	0.477149665	0.477149665	0	0	0	0	0	0	C-C motif chemokine receptor like 2
SEMA3C	ENSG00000075223	0.476084232	0.476084232	0	0	0	0	0	0	semaphorin 3C
CNN2	ENSG00000064666	0.470603486	0.470603486	0	0	0	0	0	0	calponin 2
TP53INP1	ENSG00000164938	0.467581473	0.460499197	0	0	0	0.028329104	0	0	tumor protein p53 inducible nuclear protein 1
ZNF292	ENSG00000188994	0.467366487	0.467366487	0	0	0	0	0	0	zinc finger protein 292
ZNF12	ENSG00000164631	0.464799654	0.464799654	0	0	0	0	0	0	zinc finger protein 12
CR1L	ENSG00000197721	0.458786594	0.458786594	0	0	0	0	0	0	complement C3b/C4b receptor 1 like
UNC5C	ENSG00000182168	0.452597022	0.4375	0	0	0	0	0.060388086	0	unc-5 netrin receptor C
NEDD4L	ENSG00000049759	0.446221083	0.436958894	0	0	0	0.0106847	0.0323	0	NEDD4 like E3 ubiquitin protein ligase
ADAMTS4	ENSG00000158859	0.44345751	0.43485751	0	0	0	0	0.0344	0	ADAM metallopeptidase with thrombospondin type 1 motif 4
APOC4	ENSG00000267467	0.436895574	0.433195574	0	0	0	0	0.0148	0	apolipoprotein C4
RSPH10B2	ENSG00000169402	0.42318536	0.42318536	0	0	0	0	0	0	radial spoke head 10 homolog B2
OSBPL6	ENSG00000079156	0.41115896	0.40385896	0	0	0	0	0.0292	0	oxysterol binding protein like 6
BCAS3	ENSG00000141376	0.407644063	0.407644063	0	0	0	0	0	0	BCAS3 microtubule associated cell migration factor
CST3	ENSG00000101439	0.400046623	0.064307787	0	0	0.375	0.01690657	0.06737861	0	cystatin C
CHRNA2	ENSG00000120903	0.385493444	0.381893444	0	0	0	0	0.0144	0	cholinergic receptor nicotinic alpha 2 subunit
CCDC83	ENSG00000150676	0.381390969	0.381390969	0	0	0	0	0	0	coiled-coil domain containing 83
RPS27	ENSG00000177954	0.376944523	0.007778093	0	0	0.375	0	0	0	ribosomal protein S27
CLNK	ENSG00000109684	0.376167089	0.376167089	0	0	0	0	0	0	cytokine dependent hematopoietic cell linker
FECH	ENSG00000066926	0.374473572	0.374473572	0	0	0	0	0	0	ferrochelatase
HBEGF	ENSG00000113070	0.371727645	0.371727645	0	0	0	0	0	0	heparin binding EGF like growth factor
ARHGAP12	ENSG00000165322	0.370993406	0.370993406	0	0	0	0	0	0	Rho GTPase activating protein 12
AL159141.1	ENSG00000100599	0.366367167	0.352793556	0	0	0	0	0.054294444	0	Ras and Rab interactor 3
LIPC	ENSG00000166035	0.350191175	0.339285619	0	0	0	0	0.043622222	0	lipase C, hepatic type
MT-ND1	ENSG00000198888	0.350000018	0.350000018	0	0	0	0	0	0	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
MADD	ENSG00000110514	0.349930557	0.338130557	0	0	0	0	0.0472	0	MAP kinase activating death domain
NDUFAF6	ENSG00000156170	0.345515003	0.344634861	0	0	0	0.003520571	0	0	NADH:ubiquinone oxidoreductase complex assembly factor 6
GMNC	ENSG00000205835	0.338712007	0.338712007	0	0	0	0	0	0	geminin coiled-coil domain containing
APOC4-APOC2	ENSG00000224916	0.338279741	0.338279741	0	0	0	0	0	0	APOC4-APOC2 readthrough (NMD candidate)
ZC3H12A	ENSG00000163874	0.33198306	0.33198306	0	0	0	0	0	0	zinc finger CCCH-type containing 12A
CLASRP	ENSG00000104859	0.331304153	0.331304153	0	0	0	0	0	0	CLK4 associating serine/arginine rich protein
DLG2	ENSG00000150672	0.327892648	0.327892648	0	0	0	0	0	0	discs large MAGUK scaffold protein 2
CYB561	ENSG00000008283	0.324461283	0.324461283	0	0	0	0	0	0	cytochrome b561
B4GALT3	ENSG00000158850	0.323599197	0.323599197	0	0	0	0	0	0	beta-1,4-galactosyltransferase 3
FCER1G	ENSG00000158869	0.316615357	0.034661428	0	0	0.30795	0	0	0	Fc fragment of IgE receptor Ig
EED	ENSG00000074266	0.313428807	0.311528807	0	0	0	0	0.0076	0	embryonic ectoderm development
PRIM2	ENSG00000146143	0.313377619	0.313377619	0	0	0	0	0	0	DNA primase subunit 2
MS4A6E	ENSG00000166926	0.311287601	0.302540824	0	0	0	0	0.034987111	0	membrane spanning 4-domains A6E
PRKRA	ENSG00000180228	0.307260782	0.307260782	0	0	0	0	0	0	protein activator of interferon induced protein kinase EIF2AK2
HIKESHI	ENSG00000149196	0.30467827	0.30467827	0	0	0	0	0	0	heat shock protein nuclear import factor hikeshi
PJVK	ENSG00000204311	0.302759886	0.302759886	0	0	0	0	0	0	pejvakin
YDJC	ENSG00000161179	0.282485902	0.282485902	0	0	0	0	0	0	YdjC chitooligosaccharide deacetylase homolog
UBE2L3	ENSG00000185651	0.27901678	0.271062016	0	0	0	0.006792871	0.0288	0	ubiquitin conjugating enzyme E2 L3
TRIM35	ENSG00000104228	0.276251126	0.276251126	0	0	0	0	0	0	tripartite motif containing 35
TENT5A	ENSG00000112773	0.264775127	0.264775127	0	0	0	0	0	0	terminal nucleotidyltransferase 5A
SPON1	ENSG00000262655	0.263885257	0.258422703	0	0	0	0.021850218	0	0	spondin 1
GABRA2	ENSG00000151834	0.262545604	0.057020619	0	0.246361111	0	0.01736404	0	0	gamma-aminobutyric acid type A receptor subunit alpha2
LY86	ENSG00000112799	0.261821967	0.04088787	0	0	0.25	0	0.0144	0	lymphocyte antigen 86
