Pathway	Overall_rank	Genetic_rank	Notes
Glycolysis/Gluconeogenesis	109	158	.
Citrate cycle (TCA cycle)	129	142	.
Pentose phosphate pathway	207	Excluded_too_few_papers	.
Pentose and glucuronate interconversions	194	Excluded_too_few_papers	.
Fructose and mannose metabolism	157	161	.
Galactose metabolism	94	185	.
Ascorbate and aldarate metabolism	84	85	.
Fatty acid biosynthesis	35	70	.
Fatty acid elongation	34	73	.
Fatty acid degradation	34	73	.
Synthesis and degradation of ketone bodies	130	145	.
Steroid biosynthesis	55	95	.
Primary bile acid biosynthesis	181	Excluded_too_few_papers	.
Ubiquinone and other terpenoid-quinone biosynthesis	111	76	.
Steroid hormone biosynthesis	56	96	.
Oxidative phosphorylation	114	38	.
Arginine biosynthesis	110	114	.
Purine metabolism	132	68	.
Caffeine metabolism	128	81	.
Pyrimidine metabolism	198	Excluded_too_few_papers	.
Alanine aspartate and glutamate metabolism	15	173	.
Glycine serine and threonine metabolism	165	115	.
Cysteine and methionine metabolism	52	87	.
Valine leucine and isoleucine degradation	142	32	.
Valine leucine and isoleucine biosynthesis	142	32	.
Lysine degradation	115	125	.
Arginine and proline metabolism	80	117	.
Histidine metabolism	146	129	.
Tyrosine metabolism	54	155	.
Phenylalanine metabolism	163	88	.
Tryptophan metabolism	87	106	.
Phenylalanine tyrosine and tryptophan biosynthesis	31	134	.
beta[^a-zA-Z]Alanine metabolism	113	135	.
Taurine and hypotaurine metabolism	172	Excluded_too_few_papers	.
Phosphonate and phosphinate metabolism	220	Excluded_too_few_papers	.
Selenocompound metabolism	131	107	.
D-Glutamine and D-glutamate metabolism	68	166	.
D-Arginine and D-ornithine metabolism	170	103	.
Glutathione metabolism	29	163	.
Starch and sucrose metabolism	160	111	.
N-Glycan biosynthesis	160	46	.
Other glycan degradation	168	59	.
Mucin type O-glycan biosynthesis	192	Excluded_too_few_papers	.
Various types of N-glycan biosynthesis	171	35	.
Other types of O-glycan biosynthesis	192	Excluded_too_few_papers	.
Mannose type O-glycan biosynthesis	192	Excluded_too_few_papers	.
Amino sugar and nucleotide sugar metabolism	235	Excluded_too_few_papers	No_association
Neomycin kanamycin and gentamicin biosynthesis	218	Excluded_too_few_papers	.
Glycosaminoglycan degradation	120	167	.
Glycosaminoglycan biosynthesis	120	167	.
Glycosaminoglycan biosynthesis	120	167	Duplicate_pathway_in_KEGG
Glycosaminoglycan biosynthesis	120	167	Duplicate_pathway_in_KEGG
Glycerolipid metabolism	226	Excluded_too_few_papers	.
Inositol phosphate metabolism	75	146	.
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	186	Excluded_too_few_papers	.
Glycerophospholipid metabolism	198	Excluded_too_few_papers	.
Ether lipid metabolism	208	Excluded_too_few_papers	.
Arachidonic acid metabolism	96	156	.
Linoleic acid metabolism	185	Excluded_too_few_papers	.
alpha-Linolenic acid metabolism	190	Excluded_too_few_papers	.
Sphingolipid metabolism	125	112	.
Glycosphingolipid biosynthesis	177	Excluded_too_few_papers	.
Glycosphingolipid biosynthesis	177	Excluded_too_few_papers	Duplicate_pathway_in_KEGG
Glycosphingolipid biosynthesis	177	Excluded_too_few_papers	Duplicate_pathway_in_KEGG
Pyruvate metabolism	124	150	.
Glyoxylate and dicarboxylate metabolism	227	Excluded_too_few_papers	.
Propanoate metabolism	211	Excluded_too_few_papers	.
Butanoate metabolism	212	Excluded_too_few_papers	.
One carbon pool by folate	63	2	.
Thiamine metabolism	140	78	.
Riboflavin metabolism	210	Excluded_too_few_papers	.
Vitamin B6 metabolism	156	4	.
Nicotinate and nicotinamide metabolism	118	159	.
Pantothenate and CoA biosynthesis	86	51	.
Biotin metabolism	215	Excluded_too_few_papers	.
Lipoic acid metabolism	150	174	.
Folate biosynthesis	57	6	.
Retinol metabolism	184	Excluded_too_few_papers	.
Porphyrin and chlorophyll metabolism	202	Excluded_too_few_papers	.
Terpenoid backbone biosynthesis	152	128	.
Nitrogen metabolism	100	169	.
Sulfur metabolism	196	Excluded_too_few_papers	.
Aminoacyl-tRNA biosynthesis	175	Excluded_too_few_papers	.
Metabolism of xenobiotics by cytochrome P450	108	20	.
Drug metabolism	194	Excluded_too_few_papers	.
Drug metabolism	194	Excluded_too_few_papers	Duplicate_pathway_in_KEGG
Biosynthesis of unsaturated fatty acids	65	75	.
Metabolic pathways	4	65	.
Carbon metabolism	157	45	.
2-Oxocarboxylic acid metabolism	216	Excluded_too_few_papers	.
Fatty acid metabolism	34	73	.
Biosynthesis of amino acids	173	Excluded_too_few_papers	.
EGFR tyrosine kinase inhibitor resistance	134	57	.
Endocrine resistance	231	Excluded_too_few_papers	.
Antifolate resistance	236	Excluded_too_few_papers	Dodgy
Platinum drug resistance	233	Excluded_too_few_papers	.
ABC transporters	89	8	.
Ribosome biogenesis in eukaryotes	119	66	.
Ribosome	119	66	.
RNA transport	200	Excluded_too_few_papers	.
mRNA surveillance pathway	185	Excluded_too_few_papers	.
RNA degradation	172	Excluded_too_few_papers	.
RNA polymerase	199	Excluded_too_few_papers	.
Basal transcription factors	28	49	.
DNA replication	176	Excluded_too_few_papers	.
Spliceosome	105	1	.
Proteasome	11	82	.
Protein export	121	92	.
PPAR signaling pathway	76	131	.
Base excision repair	192	Excluded_too_few_papers	.
Nucleotide excision repair	217	Excluded_too_few_papers	.
Mismatch repair	230	Excluded_too_few_papers	.
Homologous recombination	206	Excluded_too_few_papers	.
Non-homologous end-joining	221	Excluded_too_few_papers	.
Fanconi anemia pathway	232	Excluded_too_few_papers	.
MAPK signaling pathway	43	176	.
ErbB signaling pathway	131	28	.
Ras signaling pathway	150	69	.
Rap1 signaling pathway	222	Excluded_too_few_papers	.
Calcium signaling pathway	13	127	.
cGMP-PKG signaling pathway	138	177	.
cAMP signaling pathway	61	154	.
Cytokine-cytokine receptor interaction	42	133	.
Viral protein interaction with cytokine and cytokine receptor	101	139	.
Chemokine signaling pathway	12	132	.
NF-kappa B signaling pathway	39	164	.
HIF-1 signaling pathway	155	116	.
FoxO signaling pathway	149	99	.
Phosphatidylinositol signaling system	95	143	.
Sphingolipid signaling pathway	127	123	.
Phospholipase D signaling pathway	77	138	.
Neuroactive ligand-receptor interaction	222	Excluded_too_few_papers	.
Cell cycle	50	72	.
Oocyte meiosis	205	Excluded_too_few_papers	.
p53 signaling pathway	82	89	.
Ubiquitin mediated proteolysis	25	58	.
Sulfur relay system	197	Excluded_too_few_papers	.
SNARE interactions in vesicular transport	195	Excluded_too_few_papers	.
Autophagy	40	144	.
Mitophagy	177	Excluded_too_few_papers	.
Autophagy	40	144	Duplicate_pathway_in_KEGG
Protein processing in endoplasmic reticulum	36	91	.
Lysosome	32	110	.
Endocytosis	41	120	.
Phagosome	51	170	.
Peroxisome	88	136	.
mTOR signaling pathway	85	137	.
PI3K-Akt signaling pathway	44	179	.
AMPK signaling pathway	117	168	.
Apoptosis	8	148	.
Longevity regulating pathway	58	18	.
Longevity regulating pathway	58	18	Duplicate_pathway_in_KEGG
Apoptosis	8	149	Duplicate_pathway_in_KEGG
Ferroptosis	224	Excluded_too_few_papers	.
Necroptosis	220	Excluded_too_few_papers	.
Cellular senescence	46	121	.
Cardiac muscle contraction	199	Excluded_too_few_papers	.
Adrenergic signaling in cardiomyocytes	53	153	.
Vascular smooth muscle contraction	166	Excluded_too_few_papers	.
Wnt signaling pathway	95	100	.
Notch signaling pathway	48	11	.
Hedgehog signaling pathway	204	Excluded_too_few_papers	.
TGF-beta signaling pathway	81	90	.
Axon guidance	153	104	.
VEGF signaling pathway	99	98	.
Apelin signaling pathway	235	Excluded_too_few_papers	.
Osteoclast differentiation	188	Excluded_too_few_papers	.
Hippo signaling pathway	234	Excluded_too_few_papers	.
