Pathway	Overall_rank	Notes	Pclass	Class_Simple	Short_name
Alzheimer disease	1	.	Neurodegenerative disease	Alzheimer disease	Alzheimer disease
Parkinson disease	2	.	Neurodegenerative disease	Neurodegenerative disease	Parkinson disease
Metabolic pathways	4	.	Metabolism	Metabolism	Metabolic pathways
Long-term depression	5	.	Nervous system	Nervous system	Long-term depression
Cholinergic synapse	6	.	Nervous system	Nervous system	Cholinergic synapse
Apoptosis	8	.	Cell growth and death	Cell growth and death	Apoptosis
Amyotrophic lateral sclerosis (ALS)	10	.	Neurodegenerative disease	Neurodegenerative disease	ALS
Proteasome	11	.	"Folding, sorting and degradation"	"Folding, sorting and degradation"	Proteasome
Chemokine signaling pathway	12	.	Immune system	Other	Chemokine signaling
Calcium signaling pathway	13	.	Signal transduction	Other	Calcium signaling 
Glutamatergic synapse	14	.	Nervous system	Nervous system	Glutamatergic synapse
"Alanine, aspartate and glutamate metabolism"	15	.	Metabolism	Metabolism	"Ala, Asp, and Glu metabolism"
Dopaminergic synapse	16	.	Nervous system	Nervous system	Dopaminergic synapse
Cholesterol metabolism	17	.	Digestive system	Digestive system	Cholesterol metabolism
Huntington disease	18	.	Neurodegenerative disease	Neurodegenerative disease	Huntington disease
Human immunodeficiency virus 1 infection	19	.	Infectious disease: viral	Other	HIV 1 infection
Insulin signaling pathway	20	.	Endocrine system	Other	Insulin signaling
Insulin secretion	20	.	Endocrine system	Other	Insulin secretion
Prion diseases	21	.	Neurodegenerative disease	Other	Prion diseases
Alcoholism	22	.	Substance dependence	Other	Alcoholism
TNF signaling pathway	23	.	Signal transduction	Other	TNF signaling
Serotonergic synapse	24	.	Nervous system	Nervous system	Serotonergic synapse
Ubiquitin mediated proteolysis	25	.	"Folding, sorting and degradation"	"Folding, sorting and degradation"	Ubiquitin mediated proteolysis
Type II diabetes mellitus	26	.	Endocrine and metabolic disease	Other	Type II diabetes
Estrogen signaling pathway	27	.	Endocrine system	Other	Estrogen signaling
Basal transcription factors	28	.	Transcription	Other	Basal transcription factors
Glutathione metabolism	29	.	Metabolism	Metabolism	Glutathione metabolism
Fluid shear stress and atherosclerosis	30	.	Cardiovascular disease	Other	Fluid shear stress
"Phenylalanine, tyrosine and tryptophan biosynthesis"	31	.	Metabolism	Metabolism	"Phe, Tyr, and Trp biosynthesis"
