Pathway	Overall_rank	Notes
Alzheimer disease	1	.
Parkinson disease	2	.
Metabolic pathways	4	.
Long-term depression	5	.
Cholinergic synapse	6	.
Apoptosis	8	.
Amyotrophic lateral sclerosis (ALS)	10	.
Proteasome	11	.
Chemokine signaling pathway	12	.
Calcium signaling pathway	13	.
Glutamatergic synapse	14	.
Alanine aspartate and glutamate metabolism	15	.
Dopaminergic synapse	16	.
Cholesterol metabolism	17	.
Huntington disease	18	.
Human immunodeficiency virus 1 infection	19	.
Insulin signaling pathway	20	.
Insulin secretion	20	.
Prion diseases	21	.
Alcoholism	22	.
TNF signaling pathway	23	.
Serotonergic synapse	24	.
Ubiquitin mediated proteolysis	25	.
Type II diabetes mellitus	26	.
Estrogen signaling pathway	27	.
Basal transcription factors	28	.
Glutathione metabolism	29	.
Fluid shear stress and atherosclerosis	30	.
Phenylalanine tyrosine and tryptophan biosynthesis	31	.
Lysosome	32	.
Long-term potentiation	33	.
Fatty acid elongation	34	.
Fatty acid degradation	34	.
Fatty acid metabolism	34	.
Fatty acid biosynthesis	35	.
Protein processing in endoplasmic reticulum	36	.
Olfactory transduction	37	.
Pathways in cancer	38	.
NF-kappa B signaling pathway	39	.
Autophagy	40	.
Endocytosis	41	.
Cytokine-cytokine receptor interaction	42	.
MAPK signaling pathway	43	.
PI3K-Akt signaling pathway	44	.
GABAergic synapse	44	.
Complement and coagulation cascades	45	.
Cellular senescence	46	.
Rheumatoid arthritis	47	.
Notch signaling pathway	48	.
Insulin resistance	49	.
Cell cycle	50	.
Phagosome	51	.
Cysteine and methionine metabolism	52	.
Adrenergic signaling in cardiomyocytes	53	.
Tyrosine metabolism	54	.
Steroid biosynthesis	55	.
Steroid hormone biosynthesis	56	.
Folate biosynthesis	57	.
Longevity regulating pathway	58	.
Nicotine addiction	59	.
Regulation of actin cytoskeleton	60	.
cAMP signaling pathway	61	.
Neurotrophin signaling pathway	62	.
One carbon pool by folate	63	.
Renin-angiotensin system	64	.
Biosynthesis of unsaturated fatty acids	65	.
AGE-RAGE signaling pathway in diabetic complications	66	.
Circadian rhythm	67	.
Circadian entrainment	67	.
D-Glutamine and D-glutamate metabolism	68	.
Breast cancer	69	.
Innate immune system	70	Reactome
T cell receptor signaling pathway	71	.
Glioma	72	.
Pancreatic secretion	73	.
Synaptic vesicle cycle	74	.
Inositol phosphate metabolism	75	.
PPAR signaling pathway	76	.
Phospholipase D signaling pathway	77	.
Signaling pathways regulating pluripotency of stem cells	78	.
Cortisol synthesis and secretion	79	.
Arginine and proline metabolism	80	.
TGF-beta signaling pathway	81	.
p53 signaling pathway	82	.
Focal adhesion	83	.
Ascorbate and aldarate metabolism	84	.
mTOR signaling pathway	85	.
Pantothenate and CoA biosynthesis	86	.
Tryptophan metabolism	87	.
Peroxisome	88	.
ABC transporters	89	.
Cytokine signaling in immune system	90	Reactome
Antigen processing and presentation	91	.
Colorectal cancer	92	.
Cell adhesion molecules (CAMs)	93	.
Galactose metabolism	94	.
Phosphatidylinositol signaling system	95	.
Wnt signaling pathway	95	.
Arachidonic acid metabolism	96	.
Herpes simplex virus 1 infection	97	.
Asthma	98	.
VEGF signaling pathway	99	.
Nitrogen metabolism	100	.
Viral protein interaction with cytokine and cytokine receptor	101	.
Pathogenic Escherichia coli infection	102	.
Toll-like receptor signaling pathway	103	.
Adaptive immune system	104	Reactome
Spliceosome	105	.
Thyroid hormone synthesis	106	.
Thyroid hormone signaling pathway	106	.
Transcriptional misregulation in cancer	107	.
Metabolism of xenobiotics by cytochrome P450	108	.
Glycolysis/Gluconeogenesis	109	.
Arginine biosynthesis	110	.
Ubiquinone and other terpenoid-quinone biosynthesis	111	.
Chronic myeloid leukemia	112	.
Acute myeloid leukemia	112	.
beta[^a-zA-Z]Alanine metabolism	113	.
Oxidative phosphorylation	114	.
Lysine degradation	115	.
Prostate cancer	116	.
AMPK signaling pathway	117	.
Nicotinate and nicotinamide metabolism	118	.
Ribosome biogenesis in eukaryotes	119	.
Ribosome	119	.
Glycosaminoglycan degradation	120	.
Glycosaminoglycan biosynthesis	120	.
Amphetamine addiction	120	.
Protein export	121	.
JAK-STAT signaling pathway	122	.
Hepatitis B	123	.
Pyruvate metabolism	124	.
Sphingolipid metabolism	125	.
B cell receptor signaling pathway	126	.
Cocaine addiction	126	.
Sphingolipid signaling pathway	127	.
Caffeine metabolism	128	.
Citrate cycle (TCA cycle)	129	.
Chemical carcinogenesis	129	.
Synthesis and degradation of ketone bodies	130	.
Systemic lupus erythematosus	130	.
Selenocompound metabolism	131	.
ErbB signaling pathway	131	.
Non-small cell lung cancer	131	.
Purine metabolism	132	.
Type I diabetes mellitus	132	.
Hepatitis C	132	.
Renin secretion	133	.
EGFR tyrosine kinase inhibitor resistance	134	.
Tight junction	135	.
Platelet activation	136	.
Small cell lung cancer	137	.
cGMP-PKG signaling pathway	138	.
Th1 and Th2 cell differentiation	139	.
Thiamine metabolism	140	.
Morphine addiction	141	.
Valine leucine and isoleucine degradation	142	.
Valine leucine and isoleucine biosynthesis	142	.
ECM-receptor interaction	143	.
Taste transduction	143	.
GnRH signaling pathway	144	.
Tuberculosis	145	.
Histidine metabolism	146	.
Influenza A	146	.
Hematopoietic cell lineage	147	.
Retrograde endocannabinoid signaling	148	.
FoxO signaling pathway	149	.
Lipoic acid metabolism	150	.
Ras signaling pathway	150	.
Toxoplasmosis	151	.
Melanoma	151	.
Terpenoid backbone biosynthesis	152	.
Axon guidance	153	.
Ovarian steroidogenesis	154	.
HIF-1 signaling pathway	155	.
Vitamin B6 metabolism	156	.
Fructose and mannose metabolism	157	.
Carbon metabolism	157	.
Human cytomegalovirus infection	158	.
Hypertrophic cardiomyopathy (HCM)	158	.
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	158	.
Dilated cardiomyopathy (DCM)	158	.
Vitamin digestion and absorption	159	.
Starch and sucrose metabolism	160	.
N-Glycan biosynthesis	160	.
Melanogenesis	161	.
Bile secretion	162	.
Phenylalanine metabolism	163	.
GnRH secretion	164	.
Glycine serine and threonine metabolism	165	.
Vascular smooth muscle contraction	166	.
Malaria	167	.
Other glycan degradation	168	.
MicroRNAs in cancer	169	.
D-Arginine and D-ornithine metabolism	170	.
Various types of N-glycan biosynthesis	171	.
Taurine and hypotaurine metabolism	172	.
RNA degradation	172	.
Biosynthesis of amino acids	173	.
Prolactin signaling pathway	174	.
Aminoacyl-tRNA biosynthesis	175	.
DNA replication	176	.
Autoimmune thyroid disease	176	.
Glycosphingolipid biosynthesis	177	.
Mitophagy	177	.
Adipocytokine signaling pathway	177	.
Inflammatory bowel disease (IBD)	177	.
Endometrial cancer	178	.
Natural killer cell mediated cytotoxicity	179	.
Pertussis	179	.
Human T-cell leukemia virus 1 infection	179	.
Hepatocellular carcinoma	180	.
Primary bile acid biosynthesis	181	.
Leukocyte transendothelial migration	181	.
Gap junction	182	.
Epithelial cell signaling in Helicobacter pylori infection	183	.
Retinol metabolism	184	.
Oxytocin signaling pathway	184	.
Linoleic acid metabolism	185	.
mRNA surveillance pathway	185	.
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	186	.
Parathyroid hormone synthesis secretion and action	187	.
Osteoclast differentiation	188	.
Intestinal immune network for IgA production	189	.
Staphylococcus aureus infection	189	.
alpha-Linolenic acid metabolism	190	.
Gastric cancer	190	.
Central carbon metabolism in cancer	190	.
Epstein-Barr virus infection	191	.
Mucin type O-glycan biosynthesis	192	.
Other types of O-glycan biosynthesis	192	.
Mannose type O-glycan biosynthesis	192	.
Base excision repair	192	.
Aldosterone synthesis and secretion	193	.
Aldosterone-regulated sodium reabsorption	193	.
Pentose and glucuronate interconversions	194	.
Drug metabolism	194	.
SNARE interactions in vesicular transport	195	.
IL-17 signaling pathway	195	.
Sulfur metabolism	196	.
Non-alcoholic fatty liver disease (NAFLD)	196	.
Salivary secretion	196	.
Sulfur relay system	197	.
Vibrio cholerae infection	197	.
Pyrimidine metabolism	198	.
Glycerophospholipid metabolism	198	.
Pancreatic cancer	198	.
RNA polymerase	199	.
Cardiac muscle contraction	199	.
RNA transport	200	.
Allograft rejection	200	.
Measles	201	.
Porphyrin and chlorophyll metabolism	202	.
Thermogenesis	203	.
Protein digestion and absorption	203	.
Hedgehog signaling pathway	204	.
Oocyte meiosis	205	.
Homologous recombination	206	.
NOD-like receptor signaling pathway	206	.
Cushing syndrome	206	.
Pentose phosphate pathway	207	.
Ether lipid metabolism	208	.
Salmonella infection	208	.
Fc gamma R-mediated phagocytosis	209	.
Glucagon signaling pathway	209	.
Choline metabolism in cancer	209	.
Riboflavin metabolism	210	.
Bladder cancer	210	.
Propanoate metabolism	211	.
Butanoate metabolism	212	.
Th17 cell differentiation	212	.
Primary immunodeficiency	212	.
Viral carcinogenesis	213	.
Adherens junction	214	.
Vasopressin-regulated water reabsorption	214	.
Renal cell carcinoma	214	.
Biotin metabolism	215	.
2-Oxocarboxylic acid metabolism	216	.
Chagas disease (American trypanosomiasis)	216	.
Nucleotide excision repair	217	.
Neomycin kanamycin and gentamicin biosynthesis	218	.
Leishmaniasis	218	.
Fat digestion and absorption	219	.
Phosphonate and phosphinate metabolism	220	.
Necroptosis	220	.
Carbohydrate digestion and absorption	220	.
Graft-versus-host disease	220	.
Viral myocarditis	220	.
Non-homologous end-joining	221	.
Proteoglycans in cancer	221	.
Thyroid cancer	221	.
Rap1 signaling pathway	222	.
Neuroactive ligand-receptor interaction	222	.
Gastric acid secretion	222	.
Mineral absorption	222	.
C-type lectin receptor signaling pathway	223	.
Regulation of lipolysis in adipocytes	223	.
Ferroptosis	224	.
African trypanosomiasis	224	.
Human papillomavirus infection	225	.
Kaposi sarcoma-associated herpesvirus infection	225	.
Glycerolipid metabolism	226	.
Glyoxylate and dicarboxylate metabolism	227	.
RIG-I-like receptor signaling pathway	228	.
Inflammatory mediator regulation of TRP channels	229	.
Basal cell carcinoma	229	.
Mismatch repair	230	.
Bacterial invasion of epithelial cells	230	.
Endocrine resistance	231	.
Shigellosis	231	.
PD-L1 expression and PD-1 checkpoint pathway in cancer	231	.
Fanconi anemia pathway	232	.
Cytosolic DNA-sensing pathway	232	.
Platinum drug resistance	233	.
Hippo signaling pathway	234	.
Progesterone-mediated oocyte maturation	234	.
Legionellosis	234	.
Apelin signaling pathway	235	.
Fc epsilon RI signaling pathway	235	.
Phototransduction	235	.
Relaxin signaling pathway	235	.
Endocrine and other factor-regulated calcium reabsorption	235	.
Amino sugar and nucleotide sugar metabolism	235	No_association
Antifolate resistance	236	Dodgy
Maturity onset diabetes of the young	236	Dodgy
Collecting duct acid secretion	236	No_association
Proximal tubule bicarbonate reclamation	237	No_association
Yersinia infection	237	No_association
Amoebiasis	237	No_association

