"Pathway"	"Genes"
"1"	"Pathway.KEGG_Glycolysis / Gluconeogenesis"	"ALDOA, ALDOB, ALDOC, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, AKR1A1, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, PDHA1, PDHA2, PDHB, DLAT, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, PKLR, PKM, ENO1, ENO2, ENO3, ENO4, PGAM4, PGAM1, PGAM2, BPGM, GAPDH, GAPDHS, TPI1, PFKL, PFKM, PFKP, FBP1, FBP2, GPI, PGM1, PGM2, HK1, HK2, HK3, HKDC1, GCK, GALM, G6PC, G6PC2, G6PC3, DLD, PGK1, PGK2, PCK1, PCK2, ACSS2, ACSS1, ADPGK, MINPP1"
"2"	"Pathway.KEGG_Citrate cycle (TCA cycle)"	"DLD, OGDH, OGDHL, DLST, SUCLG2, SUCLG1, SUCLA2, IDH1, IDH2, IDH3A, IDH3B, IDH3G, ACLY, FH, ACO1, ACO2, CS, MDH1, MDH2, PC, PDHA1, PDHA2, PDHB, DLAT, PCK1, PCK2, SDHA, SDHB, SDHC, SDHD"
"3"	"Pathway.KEGG_Pentose phosphate pathway"	"GPI, RBKS, PGM2, DERA, PRPS1L1, PRPS1, PRPS2, TKT, TKTL1, TKTL2, RPIA, RPE, RPEL1, ALDOA, ALDOB, ALDOC, PFKL, PFKM, PFKP, FBP1, FBP2, PGD, PGLS, G6PD, IDNK, RGN, TALDO1, PGM1, GLYCTK, H6PD"
"4"	"Pathway.KEGG_Pentose and glucuronate interconversions"	"GUSB, KL, RPE, RPEL1, CRPPA, XYLB, AKR1B1, AKR1B10, DCXR, CRYL1, UGP2, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, UGDH, DHDH, SORD, AKR1A1"
"5"	"Pathway.KEGG_Fructose and mannose metabolism"	"AKR1B1, AKR1B10, SORD, KHK, HK1, HK2, HK3, HKDC1, PFKFB1, PFKFB2, PFKFB3, PFKFB4, TIGAR, MPI, PMM1, PMM2, FPGT, TSTA3, GMDS, GMPPB, GMPPA, PFKL, PFKM, PFKP, TPI1, ALDOA, ALDOB, ALDOC, TKFC, FBP1, FBP2, FCSK, ENOSF1"
"6"	"Pathway.KEGG_Galactose metabolism"	"GLA, PFKL, PFKM, PFKP, GAA, GANC, MGAM, MGAM2, AKR1B1, AKR1B10, GCK, HK1, HK2, HK3, HKDC1, LCT, GLB1, PGM1, PGM2, B4GALT1, LALBA, B4GALT2, GALE, UGP2, GALT, G6PC, G6PC2, G6PC3, SI, GALK1, GALM"
"7"	"Pathway.KEGG_Ascorbate and aldarate metabolism"	"MIOX, UGDH, RGN, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1"
"8"	"Pathway.KEGG_Fatty acid biosynthesis"	"FASN, OLAH, OXSM, MCAT, ACACA, ACACB, ACSL1, ACSL3, ACSL4, ACSBG1, ACSL6, ACSL5, ACSBG2, ACSF3, MECR, CBR4, HSD17B8, HTD2"
"9"	"Pathway.KEGG_Fatty acid elongation"	"PPT1, PPT2, MECR, ECHS1, HADHA, ACAA2, HADHB, HADH, HSD17B12, TECR, HACD2, HACD4, HACD3, HACD1, ACOT2, ACOT7, THEM4, ACOT4, THEM5, ACOT1, ELOVL2, ELOVL5, ELOVL1, ELOVL4, ELOVL6, ELOVL7, ELOVL3"
"10"	"Pathway.KEGG_Fatty acid degradation"	"ACADSB, ACADS, EHHADH, HADH, ECHS1, HADHA, ACADM, ECI2, ECI1, ACAT1, ACAT2, ACAA2, ACAA1, HADHB, ACADL, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, GCDH, CYP4A11, CYP4A22, ACSL1, ACSL3, ACSL4, ACSBG1, ACSL6, ACSL5, ACSBG2, ACOX1, ACOX3, ACADVL, CPT1C, CPT1A, CPT1B, CPT2, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1"
