target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
PSEN1,ENSG00000080815,1.0,1.0,0.0,1.0,0.375,0.01641007934142316,0.2782506724644798,0.30775058327034516,presenilin 1
APP,ENSG00000142192,1.0,1.0,0.0,1.0,1.0,0.0,0.16066144351507422,0.0,amyloid beta precursor protein
PSEN2,ENSG00000143801,1.0,1.0,0.0,1.0,0.0,0.0,0.09463834899266559,0.0,presenilin 2
APOE,ENSG00000130203,1.0,1.0,0.0,0.0,0.0,0.005675492258931188,0.1841995216086358,0.18516,apolipoprotein E
ABCA7,ENSG00000064687,1.0,1.0,0.0,0.0,0.0,0.0,0.1297544969384303,0.0,ATP binding cassette subfamily A member 7
SORL1,ENSG00000137642,1.0,1.0,0.0,0.0,0.0,0.015686115022178017,0.07299415561603904,0.0,sortilin related receptor 1
APH1B,ENSG00000138613,1.0,0.82500159740448,0.0,1.0,0.0,0.0,0.039404,0.0,"aph-1 homolog B, gamma-secretase subunit"
ADAM10,ENSG00000137845,1.0,1.0,0.0,0.0,0.0,0.0067123174223651305,0.06512629877818196,0.0,ADAM metallopeptidase domain 10
CLU,ENSG00000120885,1.0,1.0,0.0,0.0,0.0,0.008418018988324703,0.19374664148902704,0.0,clusterin
BCHE,ENSG00000114200,1.0,0.0825284793972969,0.0,1.0,0.0,0.0,0.09830166505677705,0.0,butyrylcholinesterase
HMGCR,ENSG00000113161,1.0,0.03658399358391762,0.0,1.0,0.0,0.00308085046336261,0.10372398328676403,0.0,3-hydroxy-3-methylglutaryl-CoA reductase
SLC6A3,ENSG00000142319,1.0,0.0,0.0,1.0,0.0,0.0,0.10944084799697154,0.0,solute carrier family 6 member 3
