"","SYMBOL","ENTREZID"
"1","PSEN1","5663"
"2","APP","351"
"3","PSEN2","5664"
"4","APOE","348"
"5","ABCA7","10347"
"6","SORL1","6653"
"7","APH1B","83464"
"8","ADAM10","102"
"9","CLU","1191"
"10","BCHE","590"
"11","HMGCR","3156"
"12","SLC6A3","6531"
"13","ACHE","43"
"14","GRIN3B","116444"
"15","CD33","945"
"16","PTGS2","5743"
"17","HTR6","3362"
"18","PPARG","5468"
"19","OGG1","4968"
"20","CDK5","1020"
"21","CR1","1378"
"22","GRIN2A","2903"
"23","BIN1","274"
"24","GRIN2B","2904"
"25","NCSTN","23385"
"26","HTR2A","3356"
"27","CD2AP","23607"
"28","DRD2","1813"
"29","SLC6A4","6532"
"30","ADRB1","153"
"31","CAST","831"
"32","HFE","3077"
"33","SLC6A2","6530"
"34","HTR1A","3350"
"35","TRPV1","7442"
"36","PRDX2","7001"
"37","PSENEN","55851"
"38","ADRB2","154"
"39","CHRNB2","1141"
"40","PTGS1","5742"
"41","CHRNA4","1137"
"42","JUN","3725"
"43","STAT4","6775"
"44","CDK5R1","8851"
"45","GRIN1","2902"
"46","LMNA","4000"
"47","FRMD4A","55691"
"48","SIGMAR1","10280"
"49","PRDX1","5052"
"50","APH1A","51107"
"51","CHRNA7","1139"
"52","GABBR1","2550"
"53","GRIN3A","116443"
"54","CAPN1","823"
"55","GRIN2D","2906"
"56","CAPNS1","826"
"57","GRIN2C","2905"
"58","SCN8A","6334"
"59","LMNB1","4001"
"60","ADRA1A","148"
"61","GOLGA2","2801"
"62","SCN5A","6331"
"63","SCN2A","6326"
"64","GABBR2","9568"
"65","SCN4A","6329"
"66","SCN3A","6328"
"67","CAPNS2","84290"
"68","CAPN2","824"
"69","PDE3A","5139"
"70","SCN1A","6323"
"71","FOXO3","2309"
"72","ADRB3","155"
"73","SCN10A","6336"
"74","ADRA1D","146"
"75","ADRA1B","147"
"76","SCN9A","6335"
"77","SCN11A","11280"
"78","CDC25A","993"
"79","CDC25C","995"
"80","CACNA2D1","781"
"81","SCN7A","6332"
"82","FAAH","2166"
"83","CDC25B","994"
"84","EPHA1","2041"
"85","ECHDC3","79746"
"86","SLC24A4","123041"
"87","GLIS3","169792"
"88","BACE1","23621"
"89","CASS4","57091"
"90","USP6NL","9712"
"91","INPP5D","3635"
"92","PICALM","8301"
"93","ACE","1636"
"94","ANKRD55","79722"
"95","TOMM40","10452"
"96","SCARB1","949"
"97","MMP1","4312"
"98","CLMN","79789"
"99","MMP13","4322"
"100","FBXL7","23194"
"101","MMP7","4316"
"102","MMP8","4317"
"103","MTHFD1L","25902"
"104","PTPRG","5793"
"105","TCF7L2","6934"
"106","APOC1","341"
"107","ABCA1","19"
"108","GAB2","9846"
"109","TECRL","253017"
"110","LIPG","9388"
"111","BZW2","28969"
"112","MYO16","23026"
"113","PDE7B","27115"
"114","ESR2","2100"
"115","ANKRD31","256006"
"116","ESR1","2099"
"117","TGM6","343641"
"118","MMP3","4314"
"119","DRD3","1814"
"120","CNTNAP5","129684"
"121","DPP10","57628"
"122","DRD4","1815"
"123","PDGFRB","5159"
"124","IL6R","3570"
"125","KIT","3815"
"126","ALDH5A1","7915"
"127","NR3C1","2908"
"128","FGFR3","2261"
"129","NECTIN2","5819"
"130","MAN2A1","4124"
"131","EDAR","10913"
"132","PDGFRA","5156"
"133","CNTNAP2","26047"
"134","PDE5A","8654"
"135","APOB","338"
"136","HTR2C","3358"
"137","VDR","7421"
"138","ADRA2A","150"
"139","FERMT2","10979"
"140","ADRA2B","151"
"141","ADRA2C","152"
"142","CHRNA9","55584"
"143","CHRNA10","57053"
"144","PILRA","29992"
"145","SCARA3","51435"
"146","ZNF652","22834"
"147","NFIC","4782"
"148","BCL3","602"
"149","IQCK","124152"
"150","DSG2","1829"
"151","PTK2B","2185"
"152","SLC10A2","6555"
"153","TSPOAP1","9256"
"154","CRADD","8738"
"155","ALDH1A2","8854"
"156","DBN1","1627"
"157","JCAD","57608"
"158","NPAS2","4862"
"159","SUCLG2","8801"
"160","ACKR2","1238"
"161","CRY2","1408"
"162","SAP30L","79685"
"163","NCR2","9436"
"164","HS3ST1","9957"
"165","MS4A6A","64231"
"166","HLA-DRB1","3123"
"167","ADAMTS1","9510"
"168","LRRTM1","347730"
"169","LILRA5","353514"
"170","TNRC6A","27327"
"171","CYP8B1","1582"
"172","RABEP1","9135"
"173","TYROBP","7305"
"175","PRELID2","153768"
"176","PDCL3","79031"
"177","MS4A4A","51338"
"178","CCRL2","9034"
"179","SEMA3C","10512"
"180","CNN2","1265"
"181","TP53INP1","94241"
"182","ZNF292","23036"
"183","ZNF12","7559"
"184","CR1L","1379"
"185","UNC5C","8633"
"186","DOCK2","1794"
"187","NEDD4L","23327"
"188","ADAMTS4","9507"
"189","APOC4","346"
"190","HCK","3055"
"191","RSPH10B2","728194"
"192","OSBPL6","114880"
"193","BCAS3","54828"
"194","AGTR1","185"
"195","CST3","1471"
"196","GJA1","2697"
"197","SNCA","6622"
"198","AQP4","361"
"199","P2RX7","5027"
"200","LAMP2","3920"
"201","ENPP2","5168"
"202","CREBBP","1387"
"203","CHRNA2","1135"
"204","RFX4","5992"
"205","MT1M","4499"
"206","TUBB4A","10382"
"207","DTL","51514"
"208","HSPA1A","3303"
"209","GLS","2744"
"210","STON2","85439"
"211","ZIC2","7546"
"212","CCDC83","220047"
"213","STIP1","10963"
"214","DOP1A","23033"
"215","KIFAP3","22920"
"216","BSN","8927"
"217","GSTA4","2941"
"218","BUB1","699"
"219","EGR2","1959"
"220","ABCC2","1244"
"221","PDGFB","5155"
"222","SLC22A2","6582"
"223","SNAP91","9892"
"224","ACTG1","71"
"225","ACBD5","91452"
