"","Pathway","Overall_rank","pval","Intersect","ADset_Size","pathway_Size","adj_p","enrich_rank"
"101","Pathway.KEGG_Asthma",98,2.06701534238383e-09,6,33,31,6.30439679427069e-07,1
"165","Pathway.KEGG_Hematopoietic cell lineage",147,4.38991789500061e-09,8,33,99,6.69462478987592e-07,2
"251","Pathway.KEGG_Allograft rejection",200,7.59460042106872e-09,6,33,38,7.7211770947532e-07,3
"287","Pathway.KEGG_Graft-versus-host disease",220,1.22623940844943e-08,6,33,41,9.3500754894269e-07,4
"93","Pathway.KEGG_Antigen processing and presentation",91,2.19588504916283e-08,7,33,78,9.56778485706661e-07,7
"146","Pathway.KEGG_Type I diabetes mellitus",132,1.65299047058025e-08,6,33,43,9.56778485706661e-07,5
"282","Pathway.KEGG_Leishmaniasis",218,2.0045404553815e-08,7,33,77,9.56778485706661e-07,6
"224","Pathway.KEGG_Intestinal immune network for IgA production",189,3.72616431578509e-08,6,33,49,1.42060014539306e-06,8
"203","Pathway.KEGG_Autoimmune thyroid disease",176,6.04674287324089e-08,6,33,53,2.04917397370941e-06,9
"288","Pathway.KEGG_Viral myocarditis",220,1.29211472813012e-07,6,33,60,3.94094992079686e-06,10
"207","Pathway.KEGG_Inflammatory bowel disease (IBD)",177,2.10110986346488e-07,6,33,65,5.82580462142536e-06,11
"48","Pathway.KEGG_Rheumatoid arthritis",47,1.78751951579408e-06,6,33,93,4.19379578705535e-05,13
"154","Pathway.KEGG_Th1 and Th2 cell differentiation",139,1.67706249969557e-06,6,33,92,4.19379578705535e-05,12
"225","Pathway.KEGG_Staphylococcus aureus infection",189,2.15512021978112e-06,6,33,96,4.69508333595173e-05,14
"271","Pathway.KEGG_Th17 cell differentiation",212,4.06908801649452e-06,6,33,107,8.27381230020551e-05,15
"170","Pathway.KEGG_Toxoplasmosis",151,5.30883961578239e-06,6,33,112,0.000101199755175852,16
"162","Pathway.KEGG_Tuberculosis",145,6.6963921193147e-06,7,33,180,0.000120141152728881,17
"141","Pathway.KEGG_Systemic lupus erythematosus",130,1.43130306895338e-05,6,33,133,0.000242526353350433,18
"95","Pathway.KEGG_Cell adhesion molecules (CAMs)",93,2.53285341339823e-05,6,33,147,0.00040658962688761,19
"52","Pathway.KEGG_Phagosome",51,3.06151046015469e-05,6,33,152,0.000466880345173591,20
"1","Pathway.KEGG_Alzheimer disease",1,5.93843654910333e-05,6,33,171,0.000823283248852962,22
"164","Pathway.KEGG_Influenza A",146,5.74680314370449e-05,6,33,170,0.000823283248852962,21
"229","Pathway.KEGG_Epstein-Barr virus infection",191,0.000145431531075144,6,33,201,0.00192854856425735,23
"211","Pathway.KEGG_Human T-cell leukemia virus 1 infection",179,0.000232288716425587,6,33,219,0.0029520024379085,24
"49","Pathway.KEGG_Notch signaling pathway",48,0.00129585132171184,3,33,53,0.0158093861248844,25
"100","Pathway.KEGG_Herpes simplex virus 1 infection",97,0.00328968638025326,7,33,491,0.0385905517683555,26
"46","Pathway.KEGG_Complement and coagulation cascades",45,0.0474889341667775,2,33,85,0.536449071143227,27
"264","Pathway.KEGG_Fc gamma R-mediated phagocytosis",209,0.0557671776850649,2,33,93,0.607463899783743,28
"63","Pathway.KEGG_Neurotrophin signaling pathway",62,0.085725358999443,2,33,119,0.901594292925176,29
"65","Pathway.KEGG_Renin-angiotensin system",64,0.0906702361050863,1,33,23,0.921814067068377,30
"223","Pathway.KEGG_Osteoclast differentiation",188,0.0970286680312333,2,33,128,0.954636895146005,31
"2","Pathway.KEGG_Parkinson disease",2,0.446357131389706,1,33,142,1,61
