"","ENTREZID","SYMBOL"
"1","10347","ABCA7"
"2","1636","ACE"
"3","102","ADAM10"
"4","161","AP2A2"
"5","348","APOE"
"6","351","APP"
"7","6310","ATXN1"
"8","274","BIN1"
"9","23607","CD2AP"
"10","945","CD33"
"11","1191","CLU"
"12","1378","CR1"
"13","1808","DPYSL2"
"14","1829","DSG2"
"15","3117","HLA-DQA1"
"16","3119","HLA-DQB1"
"17","3122","HLA-DRA"
"18","3123","HLA-DRB1"
"19","3126","HLA-DRB4"
"20","3127","HLA-DRB5"
"21","9957","HS3ST1"
"22","3635","INPP5D"
"23","5641","LGMN"
"24","4208","MEF2C"
"25","137682","NDUFAF6"
"26","4722","NDUFS3"
"27","5663","PSEN1"
"28","5664","PSEN2"
"29","2185","PTK2B"
"30","123041","SLC24A4"
"31","8878","SQSTM1"
"32","54209","TREM2"
"33","7551","ZNF3"
