"","Pathway","Overall_rank","pval","Intersect","ADset_Size","pathway_Size","adj_p","enrich_rank"
"101","Pathway.KEGG_Asthma",98,7.03010054276596e-09,6,40,31,2.14418066554362e-06,1
"165","Pathway.KEGG_Hematopoietic cell lineage",147,2.26480430753471e-08,8,40,99,2.61226810459072e-06,2
"251","Pathway.KEGG_Allograft rejection",200,2.56944403730235e-08,6,40,38,2.61226810459072e-06,3
"287","Pathway.KEGG_Graft-versus-host disease",220,4.13933883376096e-08,6,40,41,3.15624586074273e-06,4
"146","Pathway.KEGG_Type I diabetes mellitus",132,5.5715208895859e-08,6,40,43,3.3986277426474e-06,5
"93","Pathway.KEGG_Antigen processing and presentation",91,9.07467925496354e-08,7,40,78,3.95396738966268e-06,7
"282","Pathway.KEGG_Leishmaniasis",218,8.29029396361314e-08,7,40,77,3.95396738966268e-06,6
"224","Pathway.KEGG_Intestinal immune network for IgA production",189,1.25028436042935e-07,6,40,49,4.76670912413689e-06,8
"203","Pathway.KEGG_Autoimmune thyroid disease",176,2.02285202989827e-07,6,40,53,6.85522076798859e-06,9
"288","Pathway.KEGG_Viral myocarditis",220,4.29993437481583e-07,6,40,60,1.31147998431883e-05,10
"207","Pathway.KEGG_Inflammatory bowel disease (IBD)",177,6.96594392996451e-07,6,40,65,1.93146627149016e-05,11
"48","Pathway.KEGG_Rheumatoid arthritis",47,5.80313412322391e-06,6,40,93,0.000136150454429484,13
"154","Pathway.KEGG_Th1 and Th2 cell differentiation",139,5.44862064511476e-06,6,40,92,0.000136150454429484,12
"225","Pathway.KEGG_Staphylococcus aureus infection",189,6.98082709677449e-06,6,40,96,0.000152082304608301,14
"271","Pathway.KEGG_Th17 cell differentiation",212,1.30723399156214e-05,6,40,107,0.000265804244950968,15
"1","Pathway.KEGG_Alzheimer disease",1,1.83499156268134e-05,7,40,171,0.000310929125898783,18
"164","Pathway.KEGG_Influenza A",146,1.76629682533885e-05,7,40,170,0.000310929125898783,17
"170","Pathway.KEGG_Toxoplasmosis",151,1.69914163575615e-05,6,40,112,0.000310929125898783,16
"162","Pathway.KEGG_Tuberculosis",145,2.55895841718789e-05,7,40,180,0.000410780166969635,19
