"","Pathway","Overall_rank","pval","Intersect","ADset_Size","pathway_Size","adj_p","enrich_rank"
"60","Pathway.KEGG_Nicotine addiction",59,4.86860374342614e-39,32,306,40,1.48492414174497e-36,1
"293","Pathway.KEGG_Neuroactive ligand-receptor interaction",222,2.07621918118437e-32,69,306,340,3.16623425130617e-30,2
"135","Pathway.KEGG_Cocaine addiction",126,1.08066489555359e-12,17,306,49,1.09867597714615e-10,3
"156","Pathway.KEGG_Morphine addiction",141,1.94023503215263e-12,22,306,91,1.47942921201638e-10,4
"166","Pathway.KEGG_Retrograde endocannabinoid signaling",148,7.44080998863133e-12,27,306,148,4.53889409306511e-10,5
"45","Pathway.KEGG_GABAergic synapse",44,1.04135170246227e-11,21,306,89,5.29353782084988e-10,6
"128","Pathway.KEGG_Amphetamine addiction",120,5.35220815280296e-11,18,306,69,2.33203355229272e-09,7
"160","Pathway.KEGG_Taste transduction",143,1.82162597184222e-10,19,306,83,6.94494901764846e-09,8
"62","Pathway.KEGG_cAMP signaling pathway",61,5.8357306397324e-10,30,306,216,1.97766427235376e-08,9
"1","Pathway.KEGG_Alzheimer disease",1,1.20924760856196e-09,26,306,171,3.68820520611397e-08,10
"22","Pathway.KEGG_Serotonergic synapse",24,1.70572046118075e-09,21,306,115,4.72949764236482e-08,11
"10","Pathway.KEGG_Calcium signaling pathway",13,1.66639783469357e-08,26,306,193,4.23542782984616e-07,12
"13","Pathway.KEGG_Dopaminergic synapse",16,1.12480040549764e-07,20,306,132,2.63895479751369e-06,13
"20","Pathway.KEGG_Alcoholism",22,2.20998862731342e-05,20,306,184,0.00048146180809328,14
"7","Pathway.KEGG_Amyotrophic lateral sclerosis (ALS)",10,4.98460110393589e-05,10,306,57,0.0010135355578003,15
"11","Pathway.KEGG_Glutamatergic synapse",14,0.000103606936393807,14,306,114,0.0018588303294183,17
"223","Pathway.KEGG_Osteoclast differentiation",188,0.000101286712237894,15,306,128,0.0018588303294183,16
"49","Pathway.KEGG_Notch signaling pathway",48,0.000154520230922158,9,306,53,0.00261825946840324,18
"274","Pathway.KEGG_Adherens junction",214,0.000332099549164469,10,306,71,0.00533107171027174,19
"165","Pathway.KEGG_Hematopoietic cell lineage",147,0.000363936790788646,12,306,99,0.00555003605952686,20
"292","Pathway.KEGG_Rap1 signaling pathway",222,0.000407854377101059,19,306,210,0.00592359928646777,21
"215","Pathway.KEGG_Gap junction",182,0.000487668066677074,11,306,88,0.00676085274256852,22
"14","Pathway.KEGG_Cholesterol metabolism",17,0.000546322257788708,8,306,50,0.00724470820111112,23
"78","Pathway.KEGG_PPAR signaling pathway",76,0.000580082454226534,10,306,76,0.00737188118912886,24
"153","Pathway.KEGG_cGMP-PKG signaling pathway",138,0.000621427518806297,16,306,167,0.00756155973328803,25
"282","Pathway.KEGG_Leishmaniasis",218,0.000644591977263898,10,306,77,0.00756155973328803,26
"271","Pathway.KEGG_Th17 cell differentiation",212,0.000743281334403121,12,306,107,0.00839632618492415,27
"149","Pathway.KEGG_EGFR tyrosine kinase inhibitor resistance",134,0.00079144509661612,10,306,79,0.00862109837385417,28
"31","Pathway.KEGG_Long-term potentiation",33,0.000933256668882027,9,306,67,0.00981528565548339,29
"101","Pathway.KEGG_Asthma",98,0.000968878854931939,6,306,31,0.00985026835847471,30
"38","Pathway.KEGG_Pathways in cancer",38,0.00100330766911967,35,306,531,0.00987125287359679,31
"319","Pathway.KEGG_Fc epsilon RI signaling pathway",235,0.00104032055272253,9,306,68,0.00991555526813659,32
"69","Pathway.KEGG_Circadian entrainment",67,0.00111761381457426,11,306,97,0.0103294610134894,33
"43","Pathway.KEGG_MAPK signaling pathway",43,0.00199267387468357,22,306,295,0.0168823758827358,36
"110","Pathway.KEGG_Thyroid hormone signaling pathway",106,0.00189288344656376,12,306,119,0.0168823758827358,34
"296","Pathway.KEGG_C-type lectin receptor signaling pathway",223,0.00197849558098851,11,306,104,0.0168823758827358,35
"291","Pathway.KEGG_Thyroid cancer",221,0.00252400400673954,6,306,37,0.0208059789744746,37
"79","Pathway.KEGG_Phospholipase D signaling pathway",77,0.00423614826695146,13,306,148,0.0340006637215841,38
"297","Pathway.KEGG_Regulation of lipolysis in adipocytes",223,0.0046485034358504,7,306,55,0.0363536807162659,39
"200","Pathway.KEGG_Prolactin signaling pathway",174,0.00496856450762554,8,306,70,0.0378853043706448,40
"169","Pathway.KEGG_Ras signaling pathway",150,0.00746012325362408,17,306,232,0.0554960388379352,41
"154","Pathway.KEGG_Th1 and Th2 cell differentiation",139,0.00826789888384658,9,306,92,0.0600406942755526,42
"239","Pathway.KEGG_IL-17 signaling pathway",195,0.00947631784906745,9,306,94,0.0672157428829203,43
"19","Pathway.KEGG_Prion diseases",21,0.00995513061192364,5,306,35,0.0690071553781071,44
"54","Pathway.KEGG_Adrenergic signaling in cardiomyocytes",53,0.0114880634856732,12,306,149,0.0765561097254955,45
"207","Pathway.KEGG_Inflammatory bowel disease (IBD)",177,0.0115461673684354,7,306,65,0.0765561097254955,46
"134","Pathway.KEGG_B cell receptor signaling pathway",126,0.012671125350611,8,306,82,0.082227515573114,47
"136","Pathway.KEGG_Sphingolipid signaling pathway",127,0.0153642810893528,10,306,119,0.0976272027552627,48
"148","Pathway.KEGG_Renin secretion",133,0.0157344157035263,7,306,69,0.0979387099913373,49
"25","Pathway.KEGG_Estrogen signaling pathway",27,0.016306080827324,11,306,138,0.0994670930466766,50
"310","Pathway.KEGG_Shigellosis",231,0.0184460983653079,16,306,236,0.110314901988606,51
"268","Pathway.KEGG_Bladder cancer",210,0.019097393466753,5,306,41,0.11201355783384,52
"51","Pathway.KEGG_Cell cycle",50,0.0199691852983521,10,306,124,0.114024035316016,53
"162","Pathway.KEGG_Tuberculosis",145,0.0201878619903766,13,306,180,0.114024035316016,54
"242","Pathway.KEGG_Salivary secretion",196,0.0212475363380269,8,306,90,0.117827246965422,55
"15","Pathway.KEGG_Huntington disease",18,0.0241922073171162,17,306,264,0.131761129137865,56
"188","Pathway.KEGG_Phenylalanine metabolism",163,0.0251989441607747,3,306,17,0.134836455597128,57
"301","Pathway.KEGG_Kaposi sarcoma-associated herpesvirus infection",225,0.0256416070693581,13,306,186,0.134839485450935,58
"288","Pathway.KEGG_Viral myocarditis",220,0.0262273654271364,6,306,60,0.135582143309773,59
"5","Pathway.KEGG_Cholinergic synapse",6,0.0271031642664196,9,306,112,0.1377744183543,60
"209","Pathway.KEGG_Natural killer cell mediated cytotoxicity",179,0.02801240357915,10,306,131,0.14006201789575,61
"121","Pathway.KEGG_Prostate cancer",116,0.0315849651443888,8,306,97,0.155377651113526,62
"316","Pathway.KEGG_Progesterone-mediated oocyte maturation",234,0.0350779012728207,8,306,99,0.169821585527148,63
"63","Pathway.KEGG_Neurotrophin signaling pathway",62,0.0379692886055254,9,306,119,0.180947391010707,64
"144","Pathway.KEGG_Non-small cell lung cancer",131,0.0394531636284407,6,306,66,0.183615403279876,65
"328","Pathway.KEGG_Yersinia infection",237,0.0397331692343338,9,306,120,0.183615403279876,66
"117","Pathway.KEGG_Acute myeloid leukemia",112,0.0420035454612877,6,306,67,0.191210169637205,67
"229","Pathway.KEGG_Epstein-Barr virus infection",191,0.04392381186728,13,306,201,0.197011214992947,68
"130","Pathway.KEGG_JAK-STAT signaling pathway",122,0.0456321705423792,11,306,162,0.198825885934652,69.5
"131","Pathway.KEGG_Hepatitis B",123,0.0456321705423792,11,306,162,0.198825885934652,69.5
"228","Pathway.KEGG_Central carbon metabolism in cancer",190,0.0474099423332431,6,306,69,0.200833783494988,71.5
"276","Pathway.KEGG_Renal cell carcinoma",214,0.0474099423332431,6,306,69,0.200833783494988,71.5
"216","Pathway.KEGG_Epithelial cell signaling in Helicobacter pylori infection",183,0.0502673786714885,6,306,70,0.210021239654849,73
"187","Pathway.KEGG_Bile secretion",162,0.0562934047321713,6,306,72,0.228926512577497,75
"251","Pathway.KEGG_Allograft rejection",200,0.0556083981570526,4,306,38,0.228926512577497,74
"9","Pathway.KEGG_Chemokine signaling pathway",12,0.0578266776416769,12,306,189,0.232067587904098,76
"241","Pathway.KEGG_Non-alcoholic fatty liver disease (NAFLD)",196,0.0587288406120646,10,306,149,0.232627225801035,77
